sample-id,Plate,SampType,FeedCost,RADG,RFI,RFIClass,StartWt,EndWt,ADG,FatCover,DMI,Raw_FG,Adj_FG,RumenpH
Sample_134,4,Rumen,361.248,0.63,-1.4,2MidRFI,656,997,4.06,0.23,18.4,4.53,4.24,6.41
Sample_135,4,Rumen,431.112,0.06,1.42,2MidRFI,780,1099,3.8,0.23,22.1,5.82,5.06,6.63
Sample_136,4,Rumen,445.596,-0.06,-2.53,1LowRFI,572,818,2.93,0.15,14.1,4.82,5.23,6.94
Sample_137,4,Rumen,534.204,0.02,4.07,3HighRFI,684,978,3.5,0.11,23.1,6.6,6.27,6.72
Sample_138,4,Rumen,450.708,0.27,1.04,2MidRFI,656,962,3.64,0.15,20,5.5,5.29,6.77
Sample_139,4,Rumen,417.48,0.4,-1.92,1LowRFI,568,848,3.34,0.09,15.5,4.63,4.9,6.52
Sample_140,4,Rumen,619.404,-0.78,0.54,2MidRFI,697,904,2.46,0.11,17.7,7.21,7.27,6.67
Sample_141,4,Rumen,485.64,0.11,2.82,3HighRFI,711,1016,3.63,0.13,22.4,6.18,5.7,6.56
Sample_142,4,Rumen,481.38,0.13,0.37,2MidRFI,597,874,3.3,0.13,18,5.47,5.65,6.79
Sample_143,4,Rumen,466.896,-0.44,-0.89,2MidRFI,765,1021,3.05,0.2,18.2,5.96,5.48,6.63
Sample_2168,4,Feces,590.436,-0.52,0.01,2MidRFI,604,818,2.55,0.12,16.3,6.39,6.93,7.29
Sample_2169,4,Feces,523.128,-0.17,-0.26,2MidRFI,569,813,2.9,0.14,16.3,5.62,6.14,6.78
Sample_2170,4,Feces,621.108,-0.21,3.44,3HighRFI,563,816,3.01,0.12,20.1,6.7,7.29,6.8
Sample_2171,4,Feces,451.56,0.39,1.18,2MidRFI,634,943,3.68,0.12,20,5.43,5.3,6.56
Sample_2172,4,Feces,545.28,-0.33,1.58,3HighRFI,676,930,3.02,0.14,19.6,6.49,6.4,6.63
Sample_2173,4,Feces,470.304,0.42,1.76,3HighRFI,577,887,3.69,0.15,19.9,5.4,5.52,6.73
Sample_2174,4,Feces,775.32,-0.5,4.38,3HighRFI,529,742,2.54,0.05,19.8,7.79,9.1,6.89
Sample_2175,4,Feces,607.476,-0.52,1.09,2MidRFI,605,828,2.65,0.14,17.6,6.63,7.13,6.58
Sample_2176,4,Feces,487.344,0.08,-0.66,2MidRFI,552,809,3.07,0.11,16,5.22,5.72,6.8
Sample_2239,4,Feces,491.59,-0.01,0.28,2MidRFI,643,916,3.25,0.14,18.36,5.72,5.77,6.75
